kind,step,loss,lr,grad_norm
avg,12520,0.0289,1.86e-05,0.38
avg,12540,0.0364,1.86e-05,0.4
avg,12560,0.0326,1.86e-05,0.37
avg,12580,0.0227,1.86e-05,0.33
avg,12600,0.0211,1.86e-05,0.35
avg,12620,0.0303,1.86e-05,0.46
avg,12640,0.0375,1.85e-05,0.38
avg,12660,0.037,1.85e-05,0.42
avg,12680,0.0165,1.85e-05,0.36
avg,12700,0.0361,1.85e-05,0.37
avg,12720,0.0253,1.85e-05,0.41
avg,12740,0.0382,1.85e-05,0.45
avg,12760,0.0292,1.85e-05,0.36
avg,12780,0.0234,1.85e-05,0.37
avg,12800,0.0263,1.85e-05,0.44
avg,12820,0.0181,1.85e-05,0.41
avg,12840,0.0231,1.85e-05,0.4
avg,12860,0.0259,1.85e-05,0.44
avg,12880,0.0284,1.85e-05,0.42
avg,12900,0.0263,1.85e-05,0.44
